,CO_MUNICIPIO,NO_MUNICIPIO,AFD_INF_12,AFD_FUN_12,AFD_MED_12,ATU_INF,ATU_AF,ATU_EM,HAD_INF,HAD_AI,HAD_EM,MEDIA_INSE,IED_1,IED_2,IED_3,IED_4,IED_56,IRD_0A2,IRD_2A3,IRD_3A4,IRD_4A5,TDI_FUN,TDI_MED,REGIAO
179,3515657.0,Fernão,100.0,70.8,57.1,13.4,26.0,24.3,6.7,9.0,9.0,5.5,3.8,15.4,42.3,38.5,0.0,0.0,50.0,0.0,50.0,1.7,2.7,SP - Capital
180,3515707.0,Ferraz de Vasconcelos,76.6,88.0,66.39999999999999,17.9,28.1,32.9,7.1,5.3,5.7,5.22,9.6,22.1,23.7,35.0,9.6,8.0,40.9,44.3,6.8,4.7,11.4,SP - Capital
181,3515806.0,Flora Rica,66.7,51.2,46.4,16.0,14.4,19.3,4.8,5.1,5.5,4.78,28.7,7.1,21.4,21.4,21.4,33.3,33.3,0.0,33.4,0.8,5.2,SP - Capital
182,3515905.0,Floreal,76.2,85.4,53.6,14.3,20.0,21.7,9.0,9.0,8.8,5.37,3.5,37.9,13.8,41.4,3.4,0.0,0.0,100.0,0.0,5.4,10.8,SP - Capital
183,3516002.0,Flórida Paulista,39.5,80.5,56.7,14.4,22.4,19.5,7.8,5.7,6.3,5.11,46.6,3.4,36.2,8.6,5.2,0.0,50.0,12.5,37.5,3.7,6.7,SP - Capital
184,3516101.0,Florínea,94.3,84.5,67.9,15.4,25.1,26.3,7.4,6.7,9.1,5.23,27.7,6.9,51.7,10.3,3.4,0.0,20.0,40.0,40.0,1.1,2.5,SP - Capital
185,3516200.0,Franca,57.7,83.2,69.0,17.9,24.5,31.7,9.1,5.8,5.3,5.43,20.3,14.1,28.6,27.7,9.3,16.5,49.6,26.8,7.1,4.2,7.6,SP - Capital
186,3516309.0,Francisco Morato,89.4,85.80000000000001,63.3,18.4,28.3,32.5,6.0,5.5,4.6,5.05,6.6,17.3,32.6,34.0,9.5,5.6,41.7,51.4,1.3,3.6,8.4,SP - Capital
187,3516408.0,Franco da Rocha,90.5,84.8,63.8,13.9,26.3,30.4,6.4,5.7,5.5,5.21,12.7,15.7,33.0,31.4,7.199999999999999,9.4,48.2,36.5,5.9,2.6,6.0,SP - Capital
188,3516507.0,Gabriel Monteiro,75.0,82.39999999999999,61.5,15.0,21.6,26.7,6.6,6.5,9.2,5.49,22.3,3.7,37.0,33.3,3.7,0.0,25.0,25.0,50.0,2.0,5.0,SP - Capital
